timestamp,elapsed_time_s,abs_fz_N
2025-09-08 23:52:16.109,1.866,1.243920
2025-09-08 23:52:16.116,1.873,1.280800
2025-09-08 23:52:16.123,1.880,1.299036
2025-09-08 23:52:16.130,1.887,1.317060
2025-09-08 23:52:16.137,1.894,1.343659
2025-09-08 23:52:16.144,1.901,1.362161
2025-09-08 23:52:16.151,1.908,1.391727
2025-09-08 23:52:16.158,1.915,1.406478
2025-09-08 23:52:16.165,1.922,1.416062
2025-09-08 23:52:16.172,1.929,1.446278
2025-09-08 23:52:16.179,1.936,1.465113
2025-09-08 23:52:16.186,1.943,1.485951
2025-09-08 23:52:16.193,1.950,1.497467
2025-09-08 23:52:16.200,1.957,1.504264
2025-09-08 23:52:16.207,1.963,1.537506
2025-09-08 23:52:16.214,1.970,1.545278
2025-09-08 23:52:16.221,1.977,1.570377
2025-09-08 23:52:16.228,1.984,1.581352
2025-09-08 23:52:16.235,1.991,1.588140
2025-09-08 23:52:16.242,1.998,1.596194
2025-09-08 23:52:16.249,2.005,1.614280
2025-09-08 23:52:16.283,2.039,1.654825
2025-09-08 23:52:16.290,2.046,1.662583
2025-09-08 23:52:16.296,2.053,1.668856
2025-09-08 23:52:16.303,2.060,1.669145
2025-09-08 23:52:16.310,2.067,1.679950
2025-09-08 23:52:16.317,2.074,1.691973
2025-09-08 23:52:16.324,2.081,1.691832
2025-09-08 23:52:16.331,2.088,1.684679
2025-09-08 23:52:16.338,2.095,1.691227
2025-09-08 23:52:16.345,2.102,1.695122
2025-09-08 23:52:16.352,2.109,1.695677
2025-09-08 23:52:16.359,2.116,1.691922
2025-09-08 23:52:16.366,2.123,1.702915
2025-09-08 23:52:16.373,2.130,1.714149
2025-09-08 23:52:16.381,2.138,1.709745
2025-09-08 23:52:16.388,2.145,1.706495
2025-09-08 23:52:16.395,2.152,1.706542
2025-09-08 23:52:16.402,2.159,1.717453
2025-09-08 23:52:16.409,2.166,1.717236
2025-09-08 23:52:16.416,2.173,1.724421
2025-09-08 23:52:16.423,2.180,1.724479
2025-09-08 23:52:16.430,2.187,1.725406
2025-09-08 23:52:16.437,2.194,1.728374
2025-09-08 23:52:16.444,2.201,1.716751
2025-09-08 23:52:16.451,2.208,1.724005
2025-09-08 23:52:16.458,2.215,1.728042
2025-09-08 23:52:16.465,2.222,1.724283
2025-09-08 23:52:16.472,2.229,1.724424
2025-09-08 23:52:16.479,2.236,1.716710
2025-09-08 23:52:16.486,2.243,1.724791
2025-09-08 23:52:16.493,2.250,1.728461
2025-09-08 23:52:16.500,2.257,1.721446
2025-09-08 23:52:16.508,2.265,1.731309
2025-09-08 23:52:16.515,2.272,1.735541
2025-09-08 23:52:16.522,2.279,1.731743
2025-09-08 23:52:16.529,2.286,1.735497
2025-09-08 23:52:16.536,2.293,1.731820
2025-09-08 23:52:16.543,2.300,1.736005
2025-09-08 23:52:16.550,2.307,1.746278
2025-09-08 23:52:16.557,2.314,1.750339
2025-09-08 23:52:16.564,2.321,1.749861
2025-09-08 23:52:16.571,2.328,1.757112
2025-09-08 23:52:16.578,2.335,1.757589
2025-09-08 23:52:16.585,2.341,1.757311
2025-09-08 23:52:16.592,2.348,1.742791
2025-09-08 23:52:16.599,2.355,1.758274
2025-09-08 23:52:16.606,2.362,1.761807
2025-09-08 23:52:16.613,2.369,1.754807
2025-09-08 23:52:16.620,2.376,1.747014
2025-09-08 23:52:16.627,2.383,1.742600
2025-09-08 23:52:16.634,2.390,1.750271
2025-09-08 23:52:16.641,2.397,1.753996
2025-09-08 23:52:16.648,2.404,1.742976
2025-09-08 23:52:16.655,2.411,1.731719
2025-09-08 23:52:16.662,2.418,1.739305
2025-09-08 23:52:16.669,2.425,1.746140
2025-09-08 23:52:16.675,2.432,1.739534
2025-09-08 23:52:16.682,2.439,1.731722
2025-09-08 23:52:16.689,2.446,1.727718
2025-09-08 23:52:16.696,2.453,1.727779
2025-09-08 23:52:16.703,2.460,1.724566
2025-09-08 23:52:16.710,2.467,1.720747
