diameter,tilt,steps,measured_angle
5,30,73.9375,40.58
5,30,147.875,84.35
5,30,147.875,83.58
5,30,147.875,82.78
5,30,147.875,82.74
0.2,0,10,7.75
0.2,0,10,6.26
0.2,0,15,14.11
0.2,0,15,16.15
0.2,0,20,23.38
0.2,0,20,22.98
0.2,0,25,31.92
0.2,0,25,25.23
0.2,0,30,32.21
0.2,0,30,31.89
0.2,0,30,41.02
0.2,0,10,8.53
0.2,0,10,7.79
0.2,0,10,7.64
0.2,0,15,12.76
0.2,0,15,14.28
0.2,0,15,17.4
0.2,0,20,22.83
0.2,0,20,23.01
0.2,0,20,22.84
0.2,0,25,31.91
0.2,0,25,28.19
0.2,0,25,28.07
0.2,0,30,38.01
0.2,0,30,36.76
0.2,0,30,41.09
0.5,0,10,11.1
0.5,0,10,11.73
0.5,0,10,9.31
0.5,0,20,22.79
0.5,0,20,19.78
0.5,0,30,37.74
0.5,0,30,37.63
0.5,0,15,15.92
0.5,0,15,18.05
0.5,0,25,29.32
0.5,0,25,26.67
0.5,0,10,9.08
0.5,0,10,8.35
0.5,0,20,23.22
0.5,0,20,20.54
0.5,0,20,20.85
0.5,0,30,36.34
0.5,0,30,39.01
0.5,0,30,38.59
0.5,0,15,15.18
0.5,0,15,19.07
0.5,0,15,14.88
0.5,0,25,29.14
0.5,0,25,28.93
0.5,0,25,28.35
1,0,10,6.92
1,0,15,11.02
1,0,15,14.23
1,0,20,15.44
1,0,20,16.35
1,0,20,17.4
1,0,25,24.11
1,0,25,21.02
1,0,30,31.67
1,0,30,29.74
1,0,10,7.93
1,0,10,8.72
1,0,10,6.39
1,0,10,6.34
1,0,15,12.97
1,0,15,13.66
1,0,15,10.56
1,0,20,16.42
1,0,20,15.74
1,0,25,27.88
1,0,25,22.75
1,0,25,24.61
1,0,30,35.73
1,0,30,34.97
1,0,30,33.11
1,10,10,7.17
1,10,10,5.31
1,10,10,6.53
1,10,10,6.01
1,10,10,6.94
1,10,15,8.78
1,10,15,10.89
1,10,15,8.62
1,10,15,10.83
1,10,15,9.94
1,10,20,14.64
1,10,20,13.08
1,10,20,12.52
1,10,20,13.38
1,10,20,13.39
1,10,25,21.54
1,10,25,19.36
1,10,25,18.06
1,10,25,17.63
1,10,25,18.3
1,10,30,24.33
1,10,30,21.64
1,10,30,22.95
1,10,30,24.07
1,10,30,21.83
1,20,10,6.02
1,20,10,7.73
1,20,10,5.69
1,20,10,6.89
1,20,10,5.99
1,20,15,13.75
1,20,15,13.13
1,20,15,14.62
1,20,15,13.82
1,20,15,14.6
1,20,20,18.13
1,20,20,18.93
1,20,20,17.75
1,20,20,18.41
1,20,20,17.46
1,20,25,21.19
1,20,25,22.77
1,20,25,24.71
1,20,25,26.41
1,20,25,24.16
1,20,30,32.45
1,20,30,31.62
1,20,30,28.53
1,20,30,31.35
1,20,30,28.27
1,30,10,7.78
1,30,10,6.19
1,30,10,8.16
1,30,10,7.73
1,30,10,5.87
1,30,15,11.8
1,30,15,11.63
1,30,15,12.89
1,30,15,11.35
1,30,15,12.74
1,30,20,15.35
1,30,20,14.96
1,30,20,18.14
1,30,20,15.14
1,30,20,17.94
1,30,25,23.71
1,30,25,22.18
1,30,25,22.06
1,30,25,21.36
1,30,25,21.72
1,30,30,26.98
1,30,30,28.89
1,30,30,28.45
1,30,30,26.75
1,30,30,29.96
