diameter,direction,tilt,cos_tilt,steps,stepper_travel,measured_angle,avg_offset,ideal_rnp_angle,k_rod,k_rod_avg,c_rod,predicted_angle,error
2,cw,20,0.939692621,6.5,0.1651,8.1,-1.216,17.77810708,0.45561656,0.534,-0.431,9.062509183,0.962509183
2,cw,20,0.939692621,6.5,0.1651,7.55,-1.216,17.77810708,0.424679633,0.534,-0.431,9.062509183,1.512509183
2,cw,20,0.939692621,6.5,0.1651,7.12,-1.216,17.77810708,0.400492581,0.534,-0.431,9.062509183,1.942509183
2,cw,20,0.939692621,29.3125,0.7445375,42.51,-1.216,80.17242521,0.530232183,0.534,-0.431,42.38107506,-0.128924936
2,cw,20,0.939692621,29.3125,0.7445375,42.25,-1.216,80.17242521,0.526989172,0.534,-0.431,42.38107506,0.131075064
2,cw,20,0.939692621,29.3125,0.7445375,42.06,-1.216,80.17242521,0.52461928,0.534,-0.431,42.38107506,0.321075064
2,cw,20,0.939692621,29.3125,0.7445375,40.83,-1.216,80.17242521,0.509277347,0.534,-0.431,42.38107506,1.551075064
2,cw,20,0.939692621,29.3125,0.7445375,40.63,-1.216,80.17242521,0.506782724,0.534,-0.431,42.38107506,1.751075064
2,cw,20,0.939692621,29.3125,0.7445375,40.48,-1.216,80.17242521,0.504911756,0.534,-0.431,42.38107506,1.901075064
2,cw,20,0.939692621,29.3125,0.7445375,40.09,-1.216,80.17242521,0.500047241,0.534,-0.431,42.38107506,2.291075064
2,cw,20,0.939692621,58.6875,1.4906625,88.68,-1.216,160.5157938,0.552469,0.534,-0.431,85.28443387,-3.395566129
2,cw,20,0.939692621,58.6875,1.4906625,88.64,-1.216,160.5157938,0.552219803,0.534,-0.431,85.28443387,-3.355566129
2,cw,20,0.939692621,58.6875,1.4906625,87.67,-1.216,160.5157938,0.546176784,0.534,-0.431,85.28443387,-2.385566129
2,cw,20,0.939692621,58.6875,1.4906625,87.23,-1.216,160.5157938,0.543435621,0.534,-0.431,85.28443387,-1.945566129
2,cw,20,0.939692621,58.6875,1.4906625,85.97,-1.216,160.5157938,0.535585926,0.534,-0.431,85.28443387,-0.685566129
2,cw,20,0.939692621,58.6875,1.4906625,84.64,-1.216,160.5157938,0.527300137,0.534,-0.431,85.28443387,0.644433871
