diameter,direction,tilt,steps,stepper_travel,measured_angle,predicted_angle,error
3,ccw,10,89.5,2.2733,89.37,,
3,ccw,10,89.5,2.2733,88.77,,
3,ccw,10,89.5,2.2733,88.23,,
3,ccw,10,89.5,2.2733,87.6,,
3,ccw,10,134.25,3.40995,136.69,,
3,ccw,10,134.25,3.40995,135.67,,
3,ccw,10,134.25,3.40995,135.32,,
3,ccw,10,134.25,3.40995,133.11,,
3,ccw,10,134.25,3.40995,132.15,,
3,cw,10,9.875,0.250825,10.61,,
3,cw,10,9.875,0.250825,8.04,,
3,cw,10,9.875,0.250825,7.81,,
3,cw,10,9.875,0.250825,7.78,,
3,cw,10,9.875,0.250825,7.56,,
3,cw,10,44.5,1.1303,45.67,,
3,cw,10,44.5,1.1303,44.58,,
3,cw,10,44.5,1.1303,43.98,,
3,cw,10,44.5,1.1303,43.98,,
3,cw,10,44.5,1.1303,43.48,,
3,cw,10,88.9375,2.2590125,90.65,,
3,cw,10,88.9375,2.2590125,90.36,,
3,cw,10,88.9375,2.2590125,89.71,,
3,cw,10,88.9375,2.2590125,87.52,,
3,cw,10,88.9375,2.2590125,87.22,,
3,cw,10,133.4375,3.3893125,134.78,,
3,cw,10,133.4375,3.3893125,133.99,,
3,cw,10,133.4375,3.3893125,133.71,,
3,cw,10,133.4375,3.3893125,132.44,,
3,cw,10,133.4375,3.3893125,132.23,,
4,ccw,10,12.9375,0.3286125,9.76,,
4,ccw,10,12.9375,0.3286125,8.8,,
4,ccw,10,12.9375,0.3286125,8.71,,
4,ccw,10,12.9375,0.3286125,8.68,,
4,ccw,10,58.1875,1.4779625,43.82,,
4,ccw,10,58.1875,1.4779625,43.71,,
4,ccw,10,58.1875,1.4779625,43.7,,
4,ccw,10,58.1875,1.4779625,41.69,,
4,ccw,10,58.1875,1.4779625,41.56,,
4,ccw,10,116.375,2.955925,88.42,,
4,ccw,10,116.375,2.955925,86.55,,
4,ccw,10,116.375,2.955925,86.32,,
4,ccw,10,116.375,2.955925,85.67,,
4,ccw,10,116.375,2.955925,85.64,,
4,ccw,10,174.5,4.4323,131.53,,
4,ccw,10,174.5,4.4323,130.24,,
4,ccw,10,174.5,4.4323,129.92,,
4,ccw,10,174.5,4.4323,129.9,,
4,ccw,10,174.5,4.4323,129.25,,
4,cw,10,12.75,0.32385,9.62,,
4,cw,10,12.75,0.32385,9.14,,
4,cw,10,12.75,0.32385,8.78,,
4,cw,10,12.75,0.32385,8.72,,
4,cw,10,12.75,0.32385,8.34,,
4,cw,10,12.75,0.32385,8.32,,
4,cw,10,57.4375,1.4589125,43.3,,
4,cw,10,57.4375,1.4589125,43,,
