diameter,direction,tilt,tilt_component,steps,stepper_travel,measured_angle,a/s,c_rod,avg_offset,ideal_rnp,k,k_avg,predicted_angle,error
2,cw,30,0.866025404,88,2.2352,124.05,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,119.4537876,-4.596212417
2,cw,30,0.866025404,88,2.2352,123.94,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,119.4537876,-4.486212417
2,cw,30,0.866025404,88,2.2352,122.94,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,119.4537876,-3.486212417
3,ccw,0,1,9.9375,0.2524125,10.68,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,9.27389466,-1.40610534
3,ccw,0,1,9.9375,0.2524125,7.79,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,9.27389466,1.48389466
3,ccw,0,1,9.9375,0.2524125,7.77,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,9.27389466,1.50389466
3,ccw,0,1,9.9375,0.2524125,7.69,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,9.27389466,1.58389466
3,ccw,0,1,9.9375,0.2524125,7.64,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,9.27389466,1.63389466
3,ccw,0,1,44.75,1.13665,45.33,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,46.02151306,0.691513059
3,ccw,0,1,44.75,1.13665,45.18,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,46.02151306,0.841513059
3,ccw,0,1,44.75,1.13665,44.62,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,46.02151306,1.401513059
3,ccw,0,1,44.75,1.13665,44.2,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,46.02151306,1.821513059
3,ccw,0,1,44.75,1.13665,43.63,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,46.02151306,2.391513059
3,ccw,0,1,89.5,2.2733,90.71,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,93.25902612,2.549026118
3,ccw,0,1,89.5,2.2733,90.35,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,93.25902612,2.909026118
3,ccw,0,1,89.5,2.2733,88.68,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,93.25902612,4.579026118
3,ccw,0,1,89.5,2.2733,87.31,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,93.25902612,5.949026118
3,ccw,0,1,134.25,3.40995,137.92,0.994,-1.05,-1.216,1.940417066,0.512261007,0.544,140.4965392,2.576539177
